Homo sapiens,Caenorhabditis elegans,Relations,ID
HUMAN01186,179423,n:m,
HUMAN01186,181773,n:m,
54810,175649,n:m,
54810,177865,n:m,
5567,3565407,n:1,
58511,176316,01:01,840212
80135,174434,01:01,940803
255231,176074,n:1,
55283,176074,n:1,901721
51100,180667,n:1,
9403,176999,01:01,589296
9653,181309,n:1,
HUMAN01232,181309,n:1,
5586,CAEEL19700,n:1,
2959,178544,01:01,593691
56267,185086,1:m,
56267,181633,1:m,871685
676,172054,n:1,598487
253152,175239,n:m,
253152,179444,n:m,
7813,3565805,n:1,596459
6125,174371,01:01,905135
50999,178145,n:1,
1810,191629,01:01,884528
HUMAN01277,176812,n:m,
HUMAN01277,180492,n:m,
2730,171998,01:01,862061
5825,174126,1:m,
5825,174127,1:m,593627
199857,187398,01:01,848379
58155,174647,n:1,
1806,180818,01:01,865845
163404,174710,n:1,556011
178,175091,01:01,846469
23443,173428,01:01,778948
64645,188895,n:1,
54482,3565972,01:01,724514
1629,174279,01:01,733952
51611,174737,01:01,945564
280,179813,n:1,
279,179813,n:1,796832
277,179813,n:1,
277,179813,n:1,
277,179813,n:1,
HUMAN01329,181153,n:1,
29957,186276,n:m,
29957,181399,n:m,
29899,CAEEL18835,n:1,
22911,172355,01:01,881446
6884,192052,01:01,779083
56900,177838,01:01,914579
57535,178425,n:1,
6301,177859,01:01,932599
1952,179788,n:1,
5686,172942,01:01,530162
284612,177608,n:1,
2773,171675,n:m,
2773,176865,n:m,
85369,174165,n:1,
3749,174331,n:m,552827
3749,191761,n:m,
3749,181269,n:m,
3744,174536,n:1,
3737,174536,n:1,
3738,174536,n:1,
963,192064,01:01,
128338,181626,n:1,
10390,179935,n:m,
10390,184847,n:m,730727
1117,187733,n:m,
1117,187735,n:m,
1117,187738,n:m,
1117,182431,n:m,
1117,187357,n:m,
27159,180628,n:1,
515,175605,1:m,
515,180718,1:m,892035
5906,177709,n:1,
54879,178152,n:1,
829,177497,n:1,
389,178458,n:1,
333926,183398,n:1,
9860,176849,n:1,
260425,178107,n:1,
10286,188435,01:01,805076
HUMAN01454,173891,01:01,
4893,178104,n:1,
81839,180579,n:1,932116
845,181563,n:1,935305
476,179796,n:1,
10905,172510,n:m,
10905,CAEEL15762,n:m,722674
54855,172187,n:1,909523
10885,174038,01:01,593660
10352,175719,01:01,955813
3158,178956,n:1,
9554,180456,01:01,883054
653505,176807,n:1,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
440686,191672,n:m,
730262,179936,n:m,
730262,180027,n:m,
730262,180028,n:m,
730262,179936,n:m,
730262,180027,n:m,
730262,180028,n:m,
645142,179936,n:m,
645142,180027,n:m,
645142,180028,n:m,
51463,176650,n:m,
51463,182524,n:m,574943
10623,172321,01:01,863201
9939,175572,01:01,
84265,171916,n:1,
10628,185541,01:01,
148738,190602,n:1,
HUMAN01538,174229,01:01,
105371242,179936,n:m,
105371242,180027,n:m,
105371242,180028,n:m,
5565,176552,n:m,
5565,181492,n:m,825540
2330,176491,n:m,
2330,177954,n:m,
2330,177958,n:m,
2330,178596,n:m,
2330,179845,n:m,
51463,176650,n:m,574944
51463,182524,n:m,
644591,179936,n:m,
644591,180027,n:m,
644591,180028,n:m,
653598,176807,n:1,
653604,191672,n:m,538851
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
121504,188792,n:m,588997
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
121504,188792,n:m,
653604,191672,n:m,
653604,191672,n:m,538852
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
653604,191672,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,179339,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,957739
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
723790,172860,n:m,
