"Gene","Tau","InteractionType","ARC_Connected","ARC_Connected_Threshold","Dataset"
"A4GNT",0.979507583,"Dir",1,"1","DISEASE"
"AASDH",0.242125331,"Dir",1,"1","DISEASE"
"ABCB1",0.704089623,"Dir",1,"1","DISEASE"
"ABCC8",0.788388183,"Dir",1,"1","DISEASE"
"ABCG5",0.994208857,"Dir",3,"3","DISEASE"
"ABCG8",0.984619903,"Dir",3,"3","DISEASE"
"ABHD6",0.367515666,"Dir",1,"1","DISEASE"
"ABI2",0.284078481,"Dir",1,"1","DISEASE"
"ABLIM1",0.271912913,"Dir",2,"2","DISEASE"
"ABT1",0.1752366,"Dir",4,"4+","DISEASE"
"ACAD10",0.200504995,"Dir",2,"2","DISEASE"
"ACADSB",0.406531006,"Dir",2,"2","DISEASE"
"ACADVL",0.115708818,"Dir",1,"1","DISEASE"
"ACBD4",0.222406877,"Dir",1,"1","DISEASE"
"ACD",0.239597057,"Dir",1,"1","DISEASE"
"ACLY",0.165015728,"Dir",1,"1","DISEASE"
"ACP2",0.148867933,"Dir",1,"1","DISEASE"
"ACSM5",0.793481952,"Dir",1,"1","DISEASE"
"ACTG1P20",0.591101297,"Dir",1,"1","DISEASE"
"ACTN4",0.228878817,"Dir",1,"1","DISEASE"
"ACTR2",0.192005969,"Dir",1,"1","DISEASE"
"ADAM10",0.293248585,"Dir",1,"1","DISEASE"
"ADAM19",0.400619588,"Dir",1,"1","DISEASE"
"ADARB1",0.457268641,"Dir",1,"1","DISEASE"
"ADCY3",0.34861527,"Dir",1,"1","DISEASE"
"ADD2",0.953924755,"Dir",1,"1","DISEASE"
"ADK",0.259136431,"Dir",1,"1","DISEASE"
"ADM",0.315439918,"Dir",1,"1","DISEASE"
"ADM-DT",0.999275431,"Dir",1,"1","DISEASE"
"AFAP1",0.326459737,"Dir",1,"1","DISEASE"
"AGAP2",0.808555982,"Dir",1,"1","DISEASE"
"AGAP2-AS1",0.445559588,"Dir",1,"1","DISEASE"
"AGBL2",0.863094127,"Dir",1,"1","DISEASE"
"AGFG1",0.236002276,"Dir",1,"1","DISEASE"
"AGPAT4",0.438264591,"Dir",1,"1","DISEASE"
"AGPS",0.195323336,"Dir",1,"1","DISEASE"
"AGRP",0.960538394,"Dir",1,"1","DISEASE"
"AHCYL1",0.187188459,"Dir",1,"1","DISEASE"
"AHI1",0.456408357,"Dir",2,"2","DISEASE"
"AIG1",0.31326233,"Dir",2,"2","DISEASE"
"AKT3",0.304565358,"Dir",1,"1","DISEASE"
"AKTIP",0.177415633,"Dir",1,"1","DISEASE"
"ALCAM",0.346290605,"Dir",1,"1","DISEASE"
"ALDH2",0.273308572,"Dir",3,"3","DISEASE"
"ALDH9A1",0.173101888,"Dir",1,"1","DISEASE"
"ALG1L13P",0.944337594,"Dir",1,"1","DISEASE"
"ALG6",0.360877525,"Dir",1,"1","DISEASE"
"ALG9",0.195403928,"Dir",1,"1","DISEASE"
"ALKBH6",0.182106912,"Dir",1,"1","DISEASE"
"ALOX5",0.54480508,"Dir",1,"1","DISEASE"
"ALX3",0.970950359,"Dir",1,"1","DISEASE"
"AMBRA1",0.189111014,"Dir",1,"1","DISEASE"
"AMPD3",0.530272468,"Dir",1,"1","DISEASE"
"ANAPC5",0.119907662,"Dir",2,"2","DISEASE"
"ANGPTL2",0.338291253,"Dir",1,"1","DISEASE"
"ANGPTL8",0.888642968,"Dir",1,"1","DISEASE"
"ANKFN1",0.924918022,"Dir",1,"1","DISEASE"
"ANKH",0.332005827,"Dir",2,"2","DISEASE"
"ANKRD29",0.475979754,"Dir",1,"1","DISEASE"
"ANKRD31",1,"Dir",1,"1","DISEASE"
"ANKRD34C-AS1",0.99817707,"Dir",1,"1","DISEASE"
"ANP32E",0.151058067,"Dir",1,"1","DISEASE"
"AP1M2",0.555811261,"Dir",1,"1","DISEASE"
"AP4B1",0.274382598,"Dir",1,"1","DISEASE"
"AP4B1-AS1",0.505750799,"Dir",1,"1","DISEASE"
"AP5Z1",0.18470722,"Dir",1,"1","DISEASE"
"APH1A",0.100578056,"Dir",1,"1","DISEASE"
"APOA1",0.858488414,"Dir",2,"2","DISEASE"
"APOA1-AS",0.849634736,"Dir",2,"2","DISEASE"
"APOA4",0.963335511,"Dir",2,"2","DISEASE"
"APOA5",0.993938376,"Dir",2,"2","DISEASE"
"APOB",0.953793741,"Dir",1,"1","DISEASE"
"APOBR",0.742071438,"Dir",1,"1","DISEASE"
"APOC2",0.913110165,"Dir",1,"1","DISEASE"
"APOC3",0.936384426,"Dir",2,"2","DISEASE"
"APOC4",0.997779721,"Dir",1,"1","DISEASE"
"APOF",0.999589119,"Dir",1,"1","DISEASE"
"ARAP1",0.247061237,"Dir",1,"1","DISEASE"
"ARAP1-AS2",0.795372389,"Dir",1,"1","DISEASE"
"ARFGEF2",0.231117218,"Dir",1,"1","DISEASE"
"ARHGAP1",0.184322147,"Dir",1,"1","DISEASE"
"ARHGAP26",0.407149248,"Dir",1,"1","DISEASE"
"ARHGAP27",0.368794108,"Dir",1,"1","DISEASE"
"ARHGAP42",0.555894942,"Dir",1,"1","DISEASE"
"ARHGAP42-AS1",1,"Dir",1,"1","DISEASE"
"ARHGEF12",0.175174048,"Dir",1,"1","DISEASE"
"ARHGEF18",0.282604061,"Dir",1,"1","DISEASE"
"ARHGEF7",0.175372717,"Dir",1,"1","DISEASE"
"ARL5B",0.268749072,"Dir",1,"1","DISEASE"
"ARMH3",0.132335706,"Dir",1,"1","DISEASE"
"ASAP2",0.477083972,"Dir",1,"1","DISEASE"
"ASNSP3",1,"Dir",1,"1","DISEASE"
"ASPH",0.293546184,"Dir",1,"1","DISEASE"
"ASTN2",0.682696445,"Dir",1,"1","DISEASE"
"ASXL1",0.152156792,"Dir",1,"1","DISEASE"
"ATG13",0.216172531,"Dir",1,"1","DISEASE"
"ATG16L2",0.395700721,"Dir",1,"1","DISEASE"
"ATG4C",0.225479752,"Dir",1,"1","DISEASE"
"ATG4D",0.343483214,"Dir",1,"1","DISEASE"
"ATG7",0.24438114,"Dir",1,"1","DISEASE"
"ATP13A1",0.168476197,"Dir",1,"1","DISEASE"
"ATP1B1",0.276746644,"Dir",2,"2","DISEASE"
"ATP4B",0.993521476,"Dir",1,"1","DISEASE"
"ATP5MJ",0.127139911,"Dir",1,"1","DISEASE"
"ATP6V0D1",0.173926419,"Dir",1,"1","DISEASE"
"ATP6V0D1-DT",0.658269449,"Dir",1,"1","DISEASE"
"ATRNL1",0.800154815,"Dir",1,"1","DISEASE"
"ATXN1L",0.165579229,"Dir",1,"1","DISEASE"
"ATXN2",0.198534189,"Dir",2,"2","DISEASE"
"ATXN2-AS",0.972347087,"Dir",2,"2","DISEASE"
"AVIL",0.401911702,"Dir",1,"1","DISEASE"
"AXIN1",0.124729651,"Dir",1,"1","DISEASE"
"AZIN1",0.104098537,"Dir",1,"1","DISEASE"
"B4GALT4",0.275075064,"Dir",1,"1","DISEASE"
"B4GALT4-AS1",1,"Dir",1,"1","DISEASE"
"B9D2",0.330881986,"Dir",1,"1","DISEASE"
"BABAM2",0.428552349,"Dir",2,"2","DISEASE"
"BAD",0.120744784,"Dir",1,"1","DISEASE"
"BAK1",0.257553869,"Dir",1,"1","DISEASE"
"BAZ2A",0.14167286,"Dir",1,"1","DISEASE"
"BCAR1",0.193424998,"Dir",1,"1","DISEASE"
"BCAS2",0.120205314,"Dir",1,"1","DISEASE"
"BCL2L14",0.956697018,"Dir",1,"1","DISEASE"
"BCL2L15",0.899797207,"Dir",1,"1","DISEASE"
"BCL3",0.236674587,"Dir",1,"1","DISEASE"
"BCL6",0.206191044,"Dir",1,"1","DISEASE"
"BDNF-AS",0.581186765,"Dir",1,"1","DISEASE"
"BDP1",0.265379373,"Dir",1,"1","DISEASE"
"BLK",0.911603352,"Dir",1,"1","DISEASE"
"BLOC1S3",0.247246148,"Dir",1,"1","DISEASE"
"BLZF1",0.284064296,"Dir",1,"1","DISEASE"
"BMS1P4",0.355372329,"Dir",1,"1","DISEASE"
"BRAP",0.446035929,"Dir",2,"2","DISEASE"
"BRAT1",0.185556495,"Dir",1,"1","DISEASE"
"BRD7",0.173355618,"Dir",1,"1","DISEASE"
"BRMS1L",0.273747765,"Dir",1,"1","DISEASE"
"BROX",0.165781561,"Dir",1,"1","DISEASE"
"BTG4",1,"Dir",1,"1","DISEASE"
"BTN1A1",1,"Dir",4,"4+","DISEASE"
"BTN2A1",0.217535701,"Dir",5,"4+","DISEASE"
"BTN2A2",0.383030508,"Dir",3,"3","DISEASE"
"BTN3A1",0.37301921,"Dir",5,"4+","DISEASE"
"BTN3A2",0.38135913,"Dir",3,"3","DISEASE"
"BTN3A3",0.371835462,"Dir",4,"4+","DISEASE"
"BTRC",0.297714373,"Dir",1,"1","DISEASE"
"BUD13",0.232243177,"Dir",2,"2","DISEASE"
"C11orf24",0.209826011,"Dir",1,"1","DISEASE"
"C12orf73",0.266858461,"Dir",1,"1","DISEASE"
"C13orf42",1,"Dir",1,"1","DISEASE"
"C15orf39",0.425823866,"Dir",1,"1","DISEASE"
"C16orf86",0.534644801,"Dir",1,"1","DISEASE"
"C17orf67",0.46807896,"Dir",1,"1","DISEASE"
"C19orf38",0.84298626,"Dir",1,"1","DISEASE"
"C19orf73",0.668857029,"Dir",2,"2","DISEASE"
"C1GALT1",0.252889795,"Dir",2,"2","DISEASE"
"C1GALT1C1L",0.807338598,"Dir",3,"3","DISEASE"
"C1orf112",0.66666703,"Dir",1,"1","DISEASE"
"C1orf159",0.425064072,"Dir",1,"1","DISEASE"
"C1orf185",1,"Dir",1,"1","DISEASE"
"C1orf198",0.319388114,"Dir",1,"1","DISEASE"
"C1orf35",0.226887587,"Dir",1,"1","DISEASE"
"C1QL1",0.676395807,"Dir",1,"1","DISEASE"
"C1QTNF12",0.685117869,"Dir",1,"1","DISEASE"
"C1QTNF4",0.714975321,"Dir",1,"1","DISEASE"
"C20orf144",1,"Dir",1,"1","DISEASE"
"C2orf16",0.998547198,"Dir",2,"2","DISEASE"
"C6orf58",0.990661993,"Dir",1,"1","DISEASE"
"C8B",0.992456764,"Dir",1,"1","DISEASE"
"C8orf34",0.971784754,"Dir",1,"1","DISEASE"
"C8orf74",1,"Dir",1,"1","DISEASE"
"CA14",0.821761217,"Dir",1,"1","DISEASE"
"CACNA1D",0.71507919,"Dir",1,"1","DISEASE"
"CACNB2",0.469298044,"Dir",1,"1","DISEASE"
"CACNG1",0.980955716,"Dir",1,"1","DISEASE"
"CACNG4",0.87842084,"Dir",1,"1","DISEASE"
"CADM2",0.888055423,"Dir",1,"1","DISEASE"
"CAGE1",1,"Dir",1,"1","DISEASE"
"CALU",0.233421185,"Dir",1,"1","DISEASE"
"CAMK2G",0.313422503,"Dir",1,"1","DISEASE"
"CAMKMT",0.500729477,"Dir",1,"1","DISEASE"
"CAMP",0.919065226,"Dir",1,"1","DISEASE"
"CAMSAP2",0.229137697,"Dir",1,"1","DISEASE"
"CAP1",0.223981766,"Dir",1,"1","DISEASE"
"CAPN12",0.77280444,"Dir",1,"1","DISEASE"
"CARD9",0.667080548,"Dir",1,"1","DISEASE"
"CARF",0.373344914,"Dir",1,"1","DISEASE"
"CARM1",0.219488257,"Dir",1,"1","DISEASE"
"CARMIL1",0.404793766,"Dir",3,"3","DISEASE"
"CARMIL2",0.78954336,"Dir",1,"1","DISEASE"
"CASC15",0.8556836,"Dir",2,"2","DISEASE"
"CASQ2",0.60922944,"Dir",1,"1","DISEASE"
"CASTOR1",0.335997678,"Dir",1,"1","DISEASE"
"CASZ1",0.479833008,"Dir",1,"1","DISEASE"
"CATSPERZ",0.978503312,"Dir",1,"1","DISEASE"
"CAV2",0.347803841,"Dir",1,"1","DISEASE"
"CAVIN2",0.322806538,"Dir",1,"1","DISEASE"
"CAVIN2-AS1",1,"Dir",1,"1","DISEASE"
"CAVIN4",0.938409343,"Dir",1,"1","DISEASE"
"CBFA2T2",0.261748026,"Dir",1,"1","DISEASE"
"CBLB",0.29190691,"Dir",1,"1","DISEASE"
"CC2D2B",0.934471423,"Dir",1,"1","DISEASE"
"CCDC134",0.536285855,"Dir",1,"1","DISEASE"
"CCDC146",0.391692415,"Dir",1,"1","DISEASE"
"CCDC157",0.816992073,"Dir",1,"1","DISEASE"
"CCDC159",0.227095938,"Dir",1,"1","DISEASE"
"CCDC181",0.859907117,"Dir",2,"2","DISEASE"
"CCDC187",0.900367554,"Dir",1,"1","DISEASE"
"CCDC192",0.984754643,"Dir",1,"1","DISEASE"
"CCDC200",0.928584735,"Dir",1,"1","DISEASE"
"CCDC88B",0.550193917,"Dir",1,"1","DISEASE"
"CCL3",0.737766624,"Dir",1,"1","DISEASE"
"CCL3-AS1",0.896617287,"Dir",1,"1","DISEASE"
"CCL4",0.64220663,"Dir",1,"1","DISEASE"
"CCNG2",0.257305397,"Dir",1,"1","DISEASE"
"CCNJ",0.339294246,"Dir",1,"1","DISEASE"
"CCNT1",0.218176063,"Dir",1,"1","DISEASE"
"CCR7",0.738121699,"Dir",1,"1","DISEASE"
"CD160",0.97372074,"Dir",1,"1","DISEASE"
"CD274",0.693423112,"Dir",1,"1","DISEASE"
"CD44",0.33123029,"Dir",1,"1","DISEASE"
"CD69",0.556716404,"Dir",1,"1","DISEASE"
"CDC123",0.153591504,"Dir",1,"1","DISEASE"
"CDC25A",0.9187379,"Dir",1,"1","DISEASE"
"CDC27",0.204818261,"Dir",1,"1","DISEASE"
"CDC37",0.098953788,"Dir",1,"1","DISEASE"
"CDC42EP1",0.180183078,"Dir",1,"1","DISEASE"
"CDC5L",0.168885424,"Dir",1,"1","DISEASE"
"CDC6",0.848970757,"Dir",1,"1","DISEASE"
"CDHR2",0.915560206,"Dir",1,"1","DISEASE"
"CDHR5",0.915098617,"Dir",1,"1","DISEASE"
"CDK10",0.213586959,"Dir",1,"1","DISEASE"
"CDK11A",0.211757619,"Dir",1,"1","DISEASE"
"CDK11B",0.186411189,"Dir",1,"1","DISEASE"
"CDK4",0.177779908,"Dir",1,"1","DISEASE"
"CDK5RAP1",0.141300964,"Dir",1,"1","DISEASE"
"CDKAL1",0.259668533,"Dir",2,"2","DISEASE"
"CDKN2A",0.879833149,"Dir",3,"3","DISEASE"
"CDKN2A-DT",1,"Dir",2,"2","DISEASE"
"CDKN2B",0.538919966,"Dir",3,"3","DISEASE"
"CDKN2B-AS1",0.945664283,"Dir",3,"3","DISEASE"
"CDKN2D",0.471964329,"Dir",1,"1","DISEASE"
"CEACAM16-AS1",0.813951899,"Dir",1,"1","DISEASE"
"CEACAM22P",0.981780401,"Dir",1,"1","DISEASE"
"CEACAM3",0.964960443,"Dir",1,"1","DISEASE"
"CELF1",0.123566018,"Dir",1,"1","DISEASE"
"CENPE",0.910119939,"Dir",3,"3","DISEASE"
"CENPO",0.414884045,"Dir",1,"1","DISEASE"
"CEP41",0.734225687,"Dir",2,"2","DISEASE"
"CES3",0.767325187,"Dir",1,"1","DISEASE"
"CES4A",0.472257801,"Dir",1,"1","DISEASE"
"CFAP161",0.938640643,"Dir",1,"1","DISEASE"
"CFAP221",0.914867762,"Dir",1,"1","DISEASE"
"CFAP251",0.763637361,"Dir",1,"1","DISEASE"
"CFAP43",0.87727348,"Dir",1,"1","DISEASE"
"CFAP58",0.902781137,"Dir",1,"1","DISEASE"
"CFAP58-DT",0.855121568,"Dir",1,"1","DISEASE"
"CFAP73",0.942006661,"Dir",2,"2","DISEASE"
"CFDP1",0.183337806,"Dir",2,"2","DISEASE"
"CFL2",0.376408134,"Dir",1,"1","DISEASE"
"CFTR",0.915148195,"Dir",1,"1","DISEASE"
"CHCHD1",0.099370286,"Dir",1,"1","DISEASE"
"CHDH",0.509503357,"Dir",1,"1","DISEASE"
"CHMP4B",0.103004638,"Dir",1,"1","DISEASE"
"CHP1",0.127603977,"Dir",1,"1","DISEASE"
"CHRNA1",0.98429937,"Dir",1,"1","DISEASE"
"CHST6",0.836982672,"Dir",1,"1","DISEASE"
"CILP2",0.963255435,"Dir",1,"1","DISEASE"
"CIP2A",0.739113089,"Dir",1,"1","DISEASE"
"CISD2",0.172016858,"Dir",2,"2","DISEASE"
"CKAP5",0.272454973,"Dir",1,"1","DISEASE"
"CKM",0.753701409,"Dir",1,"1","DISEASE"
"CKS1B",0.274345622,"Dir",1,"1","DISEASE"
"CLASP1",0.119338234,"Dir",2,"2","DISEASE"
"CLASRP",0.121753788,"Dir",1,"1","DISEASE"
"CLCN6",0.201852184,"Dir",1,"1","DISEASE"
"CLDN23",0.523002138,"Dir",1,"1","DISEASE"
"CLDN7",0.524651225,"Dir",1,"1","DISEASE"
"CLEC10A",0.443432614,"Dir",1,"1","DISEASE"
"CLEC2A",1,"Dir",1,"1","DISEASE"
"CLEC2B",0.322149088,"Dir",1,"1","DISEASE"
"CLEC2D",0.517204596,"Dir",1,"1","DISEASE"
"CLEC2L",0.980160376,"Dir",1,"1","DISEASE"
"CLINT1",0.141196818,"Dir",1,"1","DISEASE"
"CLIP3",0.387237672,"Dir",1,"1","DISEASE"
"CLN8",0.324490308,"Dir",1,"1","DISEASE"
"CLNK",0.947066644,"Dir",1,"1","DISEASE"
"CLPB",0.720248239,"Dir",1,"1","DISEASE"
"CLPTM1",0.136200381,"Dir",1,"1","DISEASE"
"CLYBL",0.498795095,"Dir",1,"1","DISEASE"
"CMIP",0.31201353,"Dir",1,"1","DISEASE"
"CNGA3",0.944800503,"Dir",1,"1","DISEASE"
"COBLL1",0.4188795,"Dir",1,"1","DISEASE"
"COG5",0.289930485,"Dir",1,"1","DISEASE"
"COL14A1",0.521142268,"Dir",1,"1","DISEASE"
"COL17A1",0.77676405,"Dir",1,"1","DISEASE"
"COL4A3",0.630613932,"Dir",2,"2","DISEASE"
"COL4A4",0.599470042,"Dir",2,"2","DISEASE"
"COMETT",1,"Dir",1,"1","DISEASE"
"COMMD4",0.268274687,"Dir",1,"1","DISEASE"
"COMP",0.667028287,"Dir",1,"1","DISEASE"
"CP",0.651651903,"Dir",1,"1","DISEASE"
"CPED1",0.527937115,"Dir",1,"1","DISEASE"
"CPHL1P",0.994753965,"Dir",1,"1","DISEASE"
"CPLX3",0.826564736,"Dir",1,"1","DISEASE"
"CRACD",0.921606334,"Dir",1,"1","DISEASE"
"CREB3L1",0.456207605,"Dir",1,"1","DISEASE"
"CREB3L4",0.481242118,"Dir",1,"1","DISEASE"
"CREBBP",0.200222822,"Dir",1,"1","DISEASE"
"CRHR1",0.929577565,"Dir",2,"2","DISEASE"
"CRIP3",0.749684385,"Dir",1,"1","DISEASE"
"CRTC1",0.391824388,"Dir",1,"1","DISEASE"
"CRTC3",0.25161995,"Dir",1,"1","DISEASE"
"CRTC3-AS1",1,"Dir",1,"1","DISEASE"
"CSF1",0.257966481,"Dir",1,"1","DISEASE"
"CSK",0.331469375,"Dir",1,"1","DISEASE"
"CSPG5",0.96917624,"Dir",1,"1","DISEASE"
"CTCF",0.144793194,"Dir",1,"1","DISEASE"
"CTCF-DT",0.96448329,"Dir",1,"1","DISEASE"
"CTDNEP1",0.128516914,"Dir",1,"1","DISEASE"
"CTDSP2",0.125140808,"Dir",1,"1","DISEASE"
"CTDSPL2",0.241124955,"Dir",1,"1","DISEASE"
"CTDSPL2-DT",1,"Dir",1,"1","DISEASE"
"CTIF",0.230893764,"Dir",1,"1","DISEASE"
"CTLA4",0.879961697,"Dir",1,"1","DISEASE"
"CTRB1",0.876868339,"Dir",1,"1","DISEASE"
"CTSB",0.252966793,"Dir",1,"1","DISEASE"
"CTSH",0.321759069,"Dir",1,"1","DISEASE"
"CTTNBP2NL",0.328285966,"Dir",1,"1","DISEASE"
"CTXN3",0.950264425,"Dir",1,"1","DISEASE"
"CUX2",0.89018054,"Dir",2,"2","DISEASE"
"CYFIP2",0.448900137,"Dir",1,"1","DISEASE"
"CYLD",0.179544455,"Dir",1,"1","DISEASE"
"CYLD-AS1",0.911781879,"Dir",1,"1","DISEASE"
"CYP1A1",0.667142653,"Dir",1,"1","DISEASE"
"CYP20A1",0.291410621,"Dir",1,"1","DISEASE"
"CYP27B1",0.887632731,"Dir",1,"1","DISEASE"
"CYP2C19",0.952257355,"Dir",1,"1","DISEASE"
"CYTH2",0.317710816,"Dir",1,"1","DISEASE"
"DAB1",0.868240166,"Dir",1,"1","DISEASE"
"DCAF16",0.264036503,"Dir",1,"1","DISEASE"
"DCAKD",0.188853547,"Dir",1,"1","DISEASE"
"DCBLD1",0.368534637,"Dir",1,"1","DISEASE"
"DCLRE1B",0.399621869,"Dir",1,"1","DISEASE"
"DCTN2",0.102840414,"Dir",1,"1","DISEASE"
"DDB2",0.224668541,"Dir",1,"1","DISEASE"
"DDIT3",0.197175226,"Dir",1,"1","DISEASE"
"DDX4",1,"Dir",2,"2","DISEASE"
"DDX47",0.868706063,"Dir",1,"1","DISEASE"
"DDX54",0.135827027,"Dir",2,"2","DISEASE"
"DDX56",0.172147974,"Dir",1,"1","DISEASE"
"DDX59-AS1",0.925332736,"Dir",1,"1","DISEASE"
"DENND2C",0.692042059,"Dir",1,"1","DISEASE"
"DENND4C",0.194918455,"Dir",1,"1","DISEASE"
"DEPTOR",0.382032862,"Dir",2,"2","DISEASE"
"DGKB",0.928146879,"Dir",1,"1","DISEASE"
"DGKE",0.369174079,"Dir",1,"1","DISEASE"
"DGKZ",0.275055505,"Dir",1,"1","DISEASE"
"DHODH",0.614984212,"Dir",1,"1","DISEASE"
"DHX30",0.24756543,"Dir",1,"1","DISEASE"
"DHX38",0.145126863,"Dir",1,"1","DISEASE"
"DIP2B",0.263686953,"Dir",1,"1","DISEASE"
"DISP1",0.435827239,"Dir",1,"1","DISEASE"
"DLEU7",0.98542111,"Dir",1,"1","DISEASE"
"DLG1",0.173463905,"Dir",1,"1","DISEASE"
"DLG1-AS1",0.998594025,"Dir",1,"1","DISEASE"
"DLG4",0.448104054,"Dir",1,"1","DISEASE"
"DMTF1",0.165636018,"Dir",1,"1","DISEASE"
"DNAH11",0.935553179,"Dir",1,"1","DISEASE"
"DNAH2",0.937024316,"Dir",1,"1","DISEASE"
"DNAJC15",0.223340622,"Dir",2,"2","DISEASE"
"DNAJC4",0.307720296,"Dir",1,"1","DISEASE"
"DNAJC6",0.837547834,"Dir",1,"1","DISEASE"
"DNASE1",0.434023878,"Dir",1,"1","DISEASE"
"DNLZ",0.276310091,"Dir",1,"1","DISEASE"
"DNM2",0.14041709,"Dir",2,"2","DISEASE"
"DNMT3A",0.297571141,"Dir",1,"1","DISEASE"
"DOCK6",0.332748012,"Dir",1,"1","DISEASE"
"DOK7",0.713152478,"Dir",1,"1","DISEASE"
"DPEP3",0.978468026,"Dir",1,"1","DISEASE"
"DPP4",0.603031415,"Dir",1,"1","DISEASE"
"DPP4-DT",0.95653461,"Dir",1,"1","DISEASE"
"DPT",0.36037448,"Dir",1,"1","DISEASE"
"DPYSL5",0.954110467,"Dir",1,"1","DISEASE"
"DRD4",0.568309582,"Dir",1,"1","DISEASE"
"DRD5",0.993093331,"Dir",1,"1","DISEASE"
"DSCAM",0.974556499,"Dir",2,"2","DISEASE"
"DSEL",0.589147681,"Dir",1,"1","DISEASE"
"DTX1",0.57101019,"Dir",2,"2","DISEASE"
"DUS2",0.48493258,"Dir",1,"1","DISEASE"
"DUSP16",0.303191512,"Dir",1,"1","DISEASE"
"DUSP8P5",0.309566885,"Dir",1,"1","DISEASE"
"DVL2",0.212340536,"Dir",1,"1","DISEASE"
"DYNC1I1",0.639502806,"Dir",1,"1","DISEASE"
"DYNC2LI1",0.313319259,"Dir",2,"2","DISEASE"
"DZIP1L",0.535265787,"Dir",1,"1","DISEASE"
"E2F1",0.591266915,"Dir",1,"1","DISEASE"
"E2F3",0.356173498,"Dir",1,"1","DISEASE"
"E2F4",0.104282284,"Dir",1,"1","DISEASE"
"EAF2",0.631364954,"Dir",1,"1","DISEASE"
"EBF2",0.765718939,"Dir",1,"1","DISEASE"
"ECHDC1",0.17682746,"Dir",1,"1","DISEASE"
"ECSIT",0.131092876,"Dir",1,"1","DISEASE"
"EEF1AKMT3",0.295353106,"Dir",1,"1","DISEASE"
"EFCAB13-DT",0.910884727,"Dir",1,"1","DISEASE"
"EFCAB15P",0.898203821,"Dir",1,"1","DISEASE"
"EFCAB3",1,"Dir",1,"1","DISEASE"
"EFEMP1",0.388729785,"Dir",1,"1","DISEASE"
"EFNA1",0.342826396,"Dir",1,"1","DISEASE"
"EFR3B",0.859435632,"Dir",1,"1","DISEASE"
"EFTUD2",0.130376484,"Dir",1,"1","DISEASE"
"EHBP1",0.410638559,"Dir",1,"1","DISEASE"
"EHBP1L1",0.224643952,"Dir",1,"1","DISEASE"
"EHD4",0.264034208,"Dir",1,"1","DISEASE"
"EIF2B4",0.17297066,"Dir",1,"1","DISEASE"
"EIF4E1B",0.989203494,"Dir",1,"1","DISEASE"
"ELAPOR2",0.478486183,"Dir",1,"1","DISEASE"
"ELAVL3",0.975876152,"Dir",1,"1","DISEASE"
"ELMO1",0.439168617,"Dir",1,"1","DISEASE"
"ELP5",0.38095752,"Dir",1,"1","DISEASE"
"EML2",0.214397602,"Dir",1,"1","DISEASE"
"EML4",0.250169127,"Dir",1,"1","DISEASE"
"EMP3",0.239841326,"Dir",1,"1","DISEASE"
"ENC1",0.500392576,"Dir",1,"1","DISEASE"
"ENKD1",0.259454659,"Dir",1,"1","DISEASE"
"ENPP7P11",0.853035789,"Dir",1,"1","DISEASE"
"ENTPD1-AS1",0.726556762,"Dir",1,"1","DISEASE"
"EPHB2",0.737666002,"Dir",1,"1","DISEASE"
"EPOR",0.498108292,"Dir",1,"1","DISEASE"
"EPS15",0.147281657,"Dir",1,"1","DISEASE"
"EPS15-AS1",0.949513851,"Dir",1,"1","DISEASE"
"EPS8L3",0.936585645,"Dir",1,"1","DISEASE"
"EPSTI1",0.446407722,"Dir",2,"2","DISEASE"
"ERCC1",0.129406818,"Dir",1,"1","DISEASE"
"ERCC2",0.329197412,"Dir",1,"1","DISEASE"
"ERI1",0.39922956,"Dir",1,"1","DISEASE"
"ERP29",0.094308869,"Dir",2,"2","DISEASE"
"ESR1",0.77420743,"Dir",1,"1","DISEASE"
"ESRRA",0.246419963,"Dir",1,"1","DISEASE"
"ETFA",0.163647298,"Dir",1,"1","DISEASE"
"EVX1",0.873924987,"Dir",1,"1","DISEASE"
"EVX1-AS",0.929270415,"Dir",1,"1","DISEASE"
"EXOC3L2",0.595320855,"Dir",1,"1","DISEASE"
"F5",0.853391438,"Dir",2,"2","DISEASE"
"FAM118B",0.280549212,"Dir",1,"1","DISEASE"
"FAM13A",0.310672967,"Dir",1,"1","DISEASE"
"FAM13A-AS1",0.381182126,"Dir",1,"1","DISEASE"
"FAM167A",0.820220987,"Dir",1,"1","DISEASE"
"FAM167A-AS1",0.977796586,"Dir",1,"1","DISEASE"
"FAM169A",0.880267221,"Dir",1,"1","DISEASE"
"FAM177B",0.934227715,"Dir",1,"1","DISEASE"
"FAM180B",0.88737073,"Dir",1,"1","DISEASE"
"FAM184B",0.981357483,"Dir",1,"1","DISEASE"
"FAM186A",1,"Dir",1,"1","DISEASE"
"FAM225A",1,"Dir",1,"1","DISEASE"
"FAM229B",0.612834563,"Dir",1,"1","DISEASE"
"FAM24A",1,"Dir",1,"1","DISEASE"
"FAM85B",1,"Dir",1,"1","DISEASE"
"FANCA",0.835922206,"Dir",1,"1","DISEASE"
"FAP",0.686319657,"Dir",1,"1","DISEASE"
"FAT3",0.856854633,"Dir",1,"1","DISEASE"
"FBXO38",0.159102254,"Dir",1,"1","DISEASE"
"FBXO38-DT",0.96803792,"Dir",1,"1","DISEASE"
"FBXO42",0.269238253,"Dir",1,"1","DISEASE"
"FBXW12",0.996500392,"Dir",1,"1","DISEASE"
